Year,Country,GDP,Social_Support,Life_Expectancy,Freedom,Happiness_Score
2017,Sierra Leone,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,4.70900011062622
2017,Cameroon,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,4.69500017166138
2017,Iran,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,4.69199991226196
2017,Albania,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,4.64400005340576
2017,Bangladesh,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,4.60799980163574
2017,Namibia,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,4.57399988174438
2017,Kenya,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,4.55299997329712
2017,Mozambique,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,4.55000019073486
2017,Myanmar,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,4.54500007629395
2017,Senegal,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,4.53499984741211
2017,Zambia,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,4.51399993896484
2017,Iraq,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,4.49700021743774
2017,Gabon,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,4.46500015258789
2017,Ethiopia,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,4.46000003814697
2017,Sri Lanka,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,4.44000005722046
2017,Armenia,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,4.37599992752075
2017,India,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,4.31500005722046
2017,Mauritania,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,4.29199981689453
2017,Congo (Brazzaville),0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,4.29099988937378
2017,Georgia,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,4.28599977493286
2017,Congo (Kinshasa),0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,4.28000020980835
2017,Mali,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,4.19000005722046
2017,Ivory Coast,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,4.17999982833862
2017,Cambodia,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,4.16800022125244
2017,Sudan,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,4.13899993896484
2017,Ghana,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,4.11999988555908
2017,Ukraine,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,4.09600019454956
2017,Uganda,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,4.08099985122681
2017,Burkina Faso,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,4.03200006484985
2017,Niger,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,4.02799987792969
2017,Malawi,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,3.97000002861023
2017,Chad,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,3.93600010871887
2017,Zimbabwe,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,3.875
2017,Lesotho,0.521021246910095,1.19009518623352,0.0,0.390661299228668,3.80800008773804
2017,Angola,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,3.79500007629395
2017,Afghanistan,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,3.79399991035461
2017,Botswana,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,3.76600003242493
2017,Benin,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,3.65700006484985
2017,Madagascar,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,3.64400005340576
2017,Haiti,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,3.6029999256134
2017,Yemen,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,3.59299993515015
2017,South Sudan,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,3.59100008010864
2017,Liberia,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,3.53299999237061
2017,Guinea,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,3.50699996948242
2017,Togo,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,3.49499988555908
2017,Rwanda,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,3.47099995613098
2017,Syria,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,3.46199989318848
2017,Tanzania,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,3.34899997711182
2017,Burundi,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,2.90499997138977
2017,Central African Republic,0.0,0.0,0.0187726859003305,0.270842045545578,2.69300007820129
